year,sulphur_dioxide_max_24hour_mean
2000,191
2001,141
2002,124
2003,149
2004,90
2005,105
2006,145
2007,84
2008,80
2009,93
2010,104
2011,80
2012,98
2013,75
2014,83
2015,75
2016,61
2017,59
2018,65
2019,57
2020,30
2021,89
2022,37
2023,20
