SiteCode,SiteName
RB2,Redbridge - Ilford Broadway
RB3,Redbridge - Fullwell Cross
RB4,Redbridge - Gardner Close
RB5,Redbridge - South Woodford
RB7,Redbridge - Ley Street
RHG,Richmond Upon Thames - Chertsey Road
RI1,Richmond Upon Thames - Castelnau
RI2,Richmond Upon Thames - Barnes Wetlands
SK1,Southwark - Larcom Street
SK2,Southwark - Old Kent Road
SK5,Southwark - A2 Old Kent Road
SK6,Southwark - Elephant and Castle
SK7,Southwark - Heygate
SK8,Southwark - Tower Bridge Road
SK9,Southwark - A2 Old Kent Road FIDAS
SKA,Southwark - Lower Road
SKB,Southwark - Vicarage Grove
SKC,Southwark - South Circular Road
ST1,Sutton - Robin Hood School
ST2,Sutton - North Cheam
ST3,Sutton - Carshalton
ST4,Sutton - Wallington
ST5,Sutton - Beddington Lane north
ST6,Sutton - Worcester Park
ST7,Sutton - Therapia Lane
ST8,Sutton - Beddington Lane 
ST9,Sutton - Beddington Village
TD0,- National Physical Laboratory
TD5,London Teddington Bushy Park 
TH1,Tower Hamlets - Poplar
TH2,Tower Hamlets - Mile End Road
TH3,Tower Hamlets - Bethnal Green
TH4,Tower Hamlets - Blackwall
TH5,Tower Hamlets - Victoria Park
TH6,Tower Hamlets - Millwall Park
TL4,Greenwich - Tunnel Avenue
TL5,Newham - Hoola Tower
TL6,Newham - Britannia Gate
VS1,Westminster - Victoria Street
WA1,Wandsworth - Garratt Lane
WA2,Wandsworth - Wandsworth Town Hall
WA3,Wandsworth - Roehampton
WA4,Wandsworth - High Street
WA6,Wandsworth - Tooting
WA7,Wandsworth - Putney High Street
WA8,Wandsworth - Putney High Street Facade
WA9,Wandsworth - Putney
WAA,Wandsworth - Battersea
WAB,Wandsworth - Tooting High Street
WAC,Wandsworth - Lavender Hill (Clapham Jct)
WE0,Kensington and Chelsea - Pembroke Road
WL1,Waltham Forest - Dawlish Road
WL2,Waltham Forest - Mobile
WL3,Waltham Forest - Chingford
WL4,Waltham Forest - Crooked Billet
WL5,Waltham Forest - Leyton
WM0,Westminster - Horseferry Road
WM4,Westminster - Charing Cross Library
WM5,Westminster - Covent Garden
WM6,Westminster - Oxford Street
WM8,Westminster - Victoria
WM9,Westminster - Victoria (Victoria BID)
WMA,Westminster - Buckingham Palace Road
WMB,Westminster - Oxford Street East
WMC,Westminster - Cavendish Square
WMD,Westminster - Elizabeth Bridge
