LinkID,RoadName,RoadCategory,SpeedBand,MinimumSpeed,MaximumSpeed,StartLon,StartLat,EndLon,EndLat,Timestamp
103000000,KENT ROAD,E,3,20,29,103.85298052044504,1.3170142376560023,103.85259882242372,1.3166840028663076,2024-10-02 03:00:00
103000010,BUCKLEY ROAD,E,3,20,29,103.8410230513632,1.3166507852203482,103.84022564204444,1.316912438354752,2024-10-02 03:00:00
103000011,BUCKLEY ROAD,E,3,20,29,103.84022564204444,1.316912438354752,103.8410230513632,1.3166507852203482,2024-10-02 03:00:00
103000014,SHREWSBURY ROAD,E,5,40,49,103.84700267615683,1.3186726294030418,103.84711392225329,1.3180212058893457,2024-10-02 03:00:00
103000015,SHREWSBURY ROAD,E,5,40,49,103.84711392225329,1.3180212058893457,103.84700267615683,1.3186726294030418,2024-10-02 03:00:00
103000018,JALAN KORMA,E,6,50,59,103.84426743639844,1.315777012057452,103.84479180450104,1.3159796416371992,2024-10-02 03:00:00
103000019,JALAN KORMA,E,5,40,49,103.84479180450104,1.3159796416371992,103.84426743639844,1.315777012057452,2024-10-02 03:00:00
103000022,SING AVENUE,E,3,20,29,103.85346718361517,1.3157638139947652,103.8540099459191,1.3159850985084538,2024-10-02 03:00:00
103000023,SING AVENUE,E,3,20,29,103.8540099459191,1.3159850985084538,103.85346718361517,1.3157638139947652,2024-10-02 03:00:00
103000026,MOULMEIN RISE,E,3,20,29,103.84576595796848,1.3193495076454247,103.84649970636902,1.3193341206043805,2024-10-02 03:00:00
103000027,MOULMEIN RISE,E,4,30,39,103.84649970636902,1.3193341206043805,103.84576595796848,1.3193495076454247,2024-10-02 03:00:00
103000030,SINARAN DRIVE,E,5,40,49,103.84584773223746,1.3187614079491163,103.845922903644,1.3184775003743368,2024-10-02 03:00:00
103000031,SINARAN DRIVE,E,4,30,39,103.845922903644,1.3184775003743368,103.84584773223746,1.3187614079491163,2024-10-02 03:00:00
103000034,LEMBU ROAD,E,2,10,19,103.85444503278327,1.3095165181658417,103.8548914737948,1.3102490949407015,2024-10-02 03:00:00
103000035,LEMBU ROAD,E,3,20,29,103.8548914737948,1.3102490949407015,103.85444503278327,1.3095165181658417,2024-10-02 03:00:00
103000036,DESKER ROAD,E,3,20,29,103.85444503278327,1.3095165181658417,103.8539656777488,1.3098257335080767,2024-10-02 03:00:00
103000040,VERDUN ROAD,D,2,10,19,103.85571657719504,1.309481761374207,103.85617487784177,1.3100415318076366,2024-10-02 03:00:00
103000044,SYED ALWI ROAD,E,2,10,19,103.8548914737948,1.3102490949407015,103.85571657719504,1.309481761374207,2024-10-02 03:00:00
103000050,ORCHARD SPRING LANE,E,3,20,29,103.82435328722222,1.3040240949630044,103.82439062361162,1.3035181120546362,2024-10-02 03:00:00
103000051,ORCHARD SPRING LANE,E,4,30,39,103.82439062361162,1.3035181120546362,103.82435328722222,1.3040240949630044,2024-10-02 03:00:00
103000054,KAY SIANG ROAD,E,2,10,19,103.81184137776128,1.2977954689273836,103.81139535719257,1.2979363108403927,2024-10-02 03:00:00
103000055,KAY SIANG ROAD,E,3,20,29,103.81139535719257,1.2979363108403927,103.81184137776128,1.2977954689273836,2024-10-02 03:00:00
103000056,MARTABAN ROAD,E,8,70,999,103.8508428681823,1.3235238431328136,103.85149036161232,1.3241924351833945,2024-10-02 03:00:00
103000062,MARTABAN ROAD,E,3,20,29,103.8508428681823,1.3235238431328136,103.85008775600024,1.3242848802266949,2024-10-02 03:00:00
103000063,MARTABAN ROAD,E,8,70,999,103.85008775600024,1.3242848802266949,103.8508428681823,1.3235238431328136,2024-10-02 03:00:00
103000066,JALAN TAN TOCK SENG,E,3,20,29,103.848386001072,1.319450709571759,103.84823264087314,1.3202305802943324,2024-10-02 03:00:00
103000067,JALAN TAN TOCK SENG,E,4,30,39,103.84823264087314,1.3202305802943324,103.848386001072,1.319450709571759,2024-10-02 03:00:00
103000068,SOPHIA ROAD,E,3,20,29,103.8475350103308,1.3020505931348514,103.84735684695016,1.3020981998994814,2024-10-02 03:00:00
103000072,MUSCAT STREET,E,4,30,39,103.85929118664532,1.3020478491197238,103.85961424505442,1.3024623974822258,2024-10-02 03:00:00
103000078,PAN ISLAND EXPRESSWAY,A,8,70,999,103.6923894384768,1.3479138498233316,103.69342360283092,1.3491170726830268,2024-10-02 03:00:00
103000079,PAN ISLAND EXPRESSWAY,A,8,70,999,103.69342360283092,1.3491170726830268,103.6923894384768,1.3479138498233316,2024-10-02 03:00:00
103000080,PAN ISLAND EXPRESSWAY,A,8,70,999,103.78499221155268,1.3436196253925363,103.7838872434546,1.3431444683048892,2024-10-02 03:00:00
103000086,AMBER ROAD,C,8,70,999,103.90150591557894,1.3009014346769388,103.90006277560406,1.3000155854751687,2024-10-02 03:00:00
103000087,AMBER ROAD,C,6,50,59,103.90006277560406,1.3000155854751687,103.90150591557894,1.3009014346769388,2024-10-02 03:00:00
103000090,ANG MO KIO AVENUE 4,C,4,30,39,103.8398213700576,1.3795549789334551,103.83969577191468,1.3778764702530613,2024-10-02 03:00:00
103000091,ANG MO KIO AVENUE 4,C,3,20,29,103.83969577191468,1.3778764702530613,103.8398213700576,1.3795549789334551,2024-10-02 03:00:00
103000094,JALAN TUPAI,E,2,10,19,103.82687869301157,1.302018104115238,103.82774617488764,1.3025271098303324,2024-10-02 03:00:00
103000095,JALAN TUPAI,E,2,10,19,103.82774617488764,1.3025271098303324,103.82687869301157,1.302018104115238,2024-10-02 03:00:00
